date,ticker,open,high,low,close,volume,adjclose
8/24/2021,GOOG,2830.870117,2860.149902,2827.070068,2847.969971,756300,2847.969971
8/25/2021,GOOG,2857.659912,2866.26001,2848.790039,2859,641900,2859
8/26/2021,GOOG,2852.370117,2862.696045,2841.830078,2842.459961,746100,2842.459961
8/27/2021,GOOG,2842.25,2900.219971,2840.399902,2891.01001,1228100,2891.01001
8/30/2021,GOOG,2894.090088,2929.790039,2892,2909.389893,845800,2909.389893
8/31/2021,GOOG,2917.689941,2922.23999,2900,2909.23999,1337800,2909.23999
9/1/2021,GOOG,2913,2936.409912,2912.290039,2916.840088,791200,2916.840088
9/2/2021,GOOG,2918.98999,2926.5,2882.129883,2884.379883,1092200,2884.379883
9/3/2021,GOOG,2882.919922,2907.540039,2870.100098,2895.5,955200,2895.5
9/7/2021,GOOG,2894.98999,2916.47998,2890.820068,2910.379883,758500,2910.379883
9/8/2021,GOOG,2907.870117,2911.02002,2884,2897.669922,774300,2897.669922
9/9/2021,GOOG,2897.669922,2913.389893,2888.679932,2898.27002,739900,2898.27002
9/10/2021,GOOG,2908.870117,2920.379883,2834.830078,2838.419922,1643500,2838.419922
9/13/2021,GOOG,2864.02002,2883.820068,2845.649902,2869.300049,1008800,2869.300049
9/14/2021,GOOG,2883.219971,2894.550049,2858.110107,2868.120117,945800,2868.120117
9/15/2021,GOOG,2875.179932,2911.629883,2845.120117,2904.120117,1032400,2904.120117
9/16/2021,GOOG,2902.419922,2904,2868.326904,2887.469971,1014600,2887.469971
9/17/2021,GOOG,2875.969971,2884.98999,2821.22998,2829.27002,2929500,2829.27002
9/18/2020,AAPL,110.4000015,110.8799973,106.0899963,106.8399963,287104900,106.1572113
9/21/2020,AAPL,104.5400009,110.1900024,103.0999985,110.0800018,195713800,109.3765106
9/22/2020,AAPL,112.6800003,112.8600006,109.1600037,111.8099976,183055400,111.0954437
9/23/2020,AAPL,111.6200027,112.1100006,106.7699966,107.1200027,150718700,106.4354324
9/24/2020,AAPL,105.1699982,110.25,105,108.2200012,167743300,107.5284042
9/25/2020,AAPL,108.4300003,112.4400024,107.6699982,112.2799988,149981400,111.562439
9/28/2020,AAPL,115.0100021,115.3199997,112.7799988,114.9599991,137672400,114.2253113
9/29/2020,AAPL,114.5500031,115.3099976,113.5699997,114.0899963,99382200,113.360878
9/30/2020,AAPL,113.7900009,117.2600021,113.6200027,115.8099976,142675200,115.0698929
10/1/2020,AAPL,117.6399994,117.7200012,115.8300018,116.7900009,116120400,116.0436249
10/2/2020,AAPL,112.8899994,115.3700027,112.2200012,113.0199966,144712000,112.2977219
10/5/2020,AAPL,113.9100037,116.6500015,113.5500031,116.5,106243800,115.7554779
10/6/2020,AAPL,115.6999969,116.1200027,112.25,113.1600037,161498200,112.4368286
10/7/2020,AAPL,114.6200027,115.5500031,114.1299973,115.0800018,96849000,114.3445587
10/8/2020,AAPL,116.25,116.4000015,114.5899963,114.9700012,83477200,114.23526
10/9/2020,AAPL,115.2799988,117,114.9199982,116.9700012,100506900,116.2224731
10/12/2020,AAPL,120.0599976,125.1800003,119.2799988,124.4000015,240226800,123.6049957
10/13/2020,AAPL,125.2699966,125.3899994,119.6500015,121.0999985,262330500,120.3260727
10/14/2020,AAPL,121,123.0299988,119.6200027,121.1900024,150712000,120.4155121
10/15/2020,AAPL,118.7200012,121.1999969,118.1500015,120.7099991,112559200,119.9385681
10/16/2020,AAPL,121.2799988,121.5500031,118.8099976,119.0199966,115393800,118.2593689
10/19/2020,AAPL,119.9599991,120.4199982,115.6600037,115.9800034,120639300,115.2388
10/20/2020,AAPL,116.1999969,118.9800034,115.6299973,117.5100021,124423700,116.7590332
10/21/2020,AAPL,116.6699982,118.7099991,116.4499969,116.8700027,89946000,116.1231232
10/22/2020,AAPL,117.4499969,118.0400009,114.5899963,115.75,101988000,115.0102692
10/23/2020,AAPL,116.3899994,116.5500031,114.2799988,115.0400009,82572600,114.3048172
10/26/2020,AAPL,114.0100021,116.5500031,112.8799973,115.0500031,111850700,114.3147507
10/27/2020,AAPL,115.4899979,117.2799988,114.5400009,116.5999985,92276800,115.8548431
10/28/2020,AAPL,115.0500031,115.4300003,111.0999985,111.1999969,143937800,110.4893494
10/29/2020,AAPL,112.3700027,116.9300003,112.1999969,115.3199997,146129200,114.5830231
10/30/2020,AAPL,111.0599976,111.9899979,107.7200012,108.8600006,190272600,108.1643066
11/2/2020,AAPL,109.1100006,110.6800003,107.3199997,108.7699966,122866900,108.0748825
11/3/2020,AAPL,109.6600037,111.4899979,108.7300034,110.4400024,107624400,109.7342072
11/4/2020,AAPL,114.1399994,115.5899963,112.3499985,114.9499969,138235500,114.2153854
11/5/2020,AAPL,117.9499969,119.6200027,116.8700027,119.0299988,126387100,118.26931
11/6/2020,AAPL,,,,,,
11/6/2020,AAPL,118.3199997,119.1999969,116.1299973,118.6900024,114457900,118.1349564
11/9/2020,AAPL,120.5,121.9899979,116.0500031,116.3199997,154515300,115.7760315
11/10/2020,AAPL,115.5500031,117.5899963,114.1299973,115.9700012,138023400,115.4276657
11/11/2020,AAPL,117.1900024,119.6299973,116.4400024,119.4899979,112295000,118.9311981
11/12/2020,AAPL,119.6200027,120.5299988,118.5699997,119.2099991,103162300,118.6525116
11/13/2020,AAPL,119.4400024,119.6699982,117.8700027,119.2600021,81581900,118.7022781
11/16/2020,AAPL,118.9199982,120.9899979,118.1500015,120.3000031,91183000,119.7374191
11/17/2020,AAPL,119.5500031,120.6699982,118.9599991,119.3899994,74271000,118.8316727
11/18/2020,AAPL,118.6100006,119.8199997,118,118.0299988,76322100,117.478035
11/19/2020,AAPL,117.5899963,119.0599976,116.8099976,118.6399994,74113000,118.0851822
11/20/2020,AAPL,118.6399994,118.7699966,117.2900009,117.3399963,73604300,116.7912598
